,name_media,title,summary,link,published
366,Donau Zeitung,"""Der Filz verhindert Innovationen"": SPD teilt am Aschermittwoch gegen CSU aus",Der SPD-Unterbezirk Dillingen schießt beim Politischen Aschermittwoch verbal gegen die Staatsregierung. Greift bei den anstehenden Wahlen das Aschermittwochs-Orakel?,https://www.augsburger-allgemeine.de/dillingen/gundelfingen-der-filz-verhindert-innovationen-spd-teilt-am-aschermittwoch-gegen-csu-aus-id65677056.html,"Tue, 28 Feb 2023 11:00:00 GMT"
513,Abendzeitung München,Grünflächen erhalten: CSU übernimmt das Bürgerbegehren,"Trotzdem kann es sein, dass die Münchner bald über Grünflächen abstimmen sollen.",https://www.abendzeitung-muenchen.de/muenchen/gruenflaechen-erhalten-csu-uebernimmt-das-buergerbegehren-art-882758,"Tue, 28 Feb 2023 06:45:00 +0100"
654,BR,Untersuchungsausschuss: Opposition wirft CSU und FW Blockade vor,Ging bei der Planung und den Vertragsabschlüssen für das Nürnberger Zukunftsmuseum alles mit rechten Dingen zu? Das prüft aktuell ein Untersuchungsausschuss im Landtag. Die Opposition fordert dafür vergeblich Einsicht in bestimmte Akten.,"https://www.br.de/nachrichten/bayern/untersuchungsausschuss-opposition-wirft-csu-und-fw-blockade-vor,TXAyv7e",2023-02-28T18:45:50.342+00:00
847,Donaukurier,CSU-Kandidat Mailinger setzt auf Kontinuität,"Es gibt ein Wort, das Johannes Mailinger (CSU) so oft benutzt wie kein anderes, wenn er sich den Frauen und Männern vorstellt, die ihm am Sonntag, 19. März, bei der Bürgermeisterwahl in Thalmässing ihre Stimme geben sollen: gemeinsam. Gemeinsam begonnene Projekte wolle er erfolgreich weiterführen, ist schon auf der Leinwand zu lesen, mittels der er sich, seine Vita und seine politischen Ziele visualisiert. So auch in Landersdorf, wo er an einem von fünf derartigen Abenden davon spricht, er wolle „den Weg des Miteinanders weitergehen– mit den Bürgern und dem gesamten Marktrat“.",https://www.donaukurier.de/lokales/landkreis-roth/csu-kandidat-mailinger-setzt-auf-kontinuitaet-10628512,"Tue, 28 Feb 2023 05:00:00 +0100"
999,Frankenpost,Für Hof: CSU will Touristen-Karte,"Damit Besucher Einrichtungen und Angebote g&uuml;nstiger und einfacher nutzen k&ouml;nnen, schl&auml;gt die CSU eine Touristen-Karte vor – gern auch mit dem Hofer Land. Beispiele, wo es das schon gibt, gibt es viele vom Bodensee bis Magdeburg.",https://www.frankenpost.de/inhalt.fuer-hof-csu-will-touristen-karte.b62aa5c6-7aa1-4690-b680-e9b8a3fbea6b.html,"Fri, 24 Feb 2023 12:23:00 GMT"
1056,Frankenpost,Hauptredner Albert Füracker: 250 Gäste bei CSU-Empfang in Rehau,Die Rehauer CSU hat am Samstag rund 250 G&auml;ste zu ihrem Neujahrsempfang in der Firma Lamilux begr&uuml;&szlig;t - und damit die Besucherzahl des Empfangs der Landkreis-CSU &uuml;bertroffen.,https://www.frankenpost.de/inhalt.neujahrsempfang-fueracker-ackert-fuers-laendliche.1b4c919a-76f6-4ff9-bef0-4d718c8de164.html,"Sat, 21 Jan 2023 18:40:03 GMT"
1352,Frankenpost,CSU-Bürgerpreis: Ein Hauch von Rio in der Kurgemeinde,Der F&ouml;rderkreis Waldbad Bad Alexandersbad erh&auml;lt den diesj&auml;hrigen B&uuml;rgerpreis des CSU-Kreisverbandes. Der Verein sorgt seit 20 Jahren f&uuml;r Badevergn&uuml;gen im Fichtelgebirge.,https://www.frankenpost.de/inhalt.csu-buergerpreis-ein-hauch-von-rio-in-der-kurgemeinde.3cc730d8-8d24-4351-acc8-919cf843f1fb.html,"Sun, 26 Feb 2023 13:57:00 GMT"
1516,Frankenpost,In Selb: CSU kündigt  OB-Kandidat an,"Der Ortsvorsitzende Matthias M&uuml;ller sagt beim politischen Aschermittwoch, die Stadt brauche einen Macher. Einen Namen nennt er noch nicht.",https://www.frankenpost.de/inhalt.in-selb-csu-kuendigt-ob-kandidat-an.d10d829f-46ea-4aa8-972e-38a8456d7b1a.html,"Fri, 24 Feb 2023 13:20:00 GMT"
1517,Frankenpost,CSU Selb: Watschen quer durch die Politik,"Bei der CSU Selb gibt J&uuml;rgen Henkel den Franz Josef Strau&szlig;. In seiner Rede zum politischen Aschermittwoch bekommt jeder sein Fett weg: Bundes-, Staats- und Stadtregierung.",https://www.frankenpost.de/inhalt.csu-selb-watschen-quer-durch-die-politik.d121b075-9f2e-4c3b-9c76-2b9e14bea6fa.html,"Fri, 24 Feb 2023 13:16:00 GMT"
2161,M�nchner Merkur,Barrierefreie Altstadt: CSU räumt Versäumnisse ein,So kenn man die CSU gar nicht: Beim barrierefreien Umbau der Altstadt habe man sich nicht wirklich mit Ruhm bekleckert. Kommt jetzt die Zeitenwende?,https://www.merkur.de/lokales/erding/erding-barrierefreie-altstadt-csu-raeumt-versaeumnisse-ein-92110248.html?cmp=defrss,"Mon, 27 Feb 2023 08:00:00 +0100"
2218,M�nchner Merkur,CSU-Fraktionschef Florian Schiller über Stadtpolitik und Streitfragen: „So wird das nix“,"Florian Schiller (40), CSU-Fraktionsvorsitzender im Dachauer Stadtrat, spricht im Interview über die Themen, die Stadt gerade bewegen - und gibt zu, dass die Entwicklung rund um das neue Hallenbad für Dachau sehr peinlich ist.",https://www.merkur.de/lokales/dachau/so-wird-das-nix-92115156.html?cmp=defrss,"Wed, 01 Mar 2023 11:24:00 +0100"
2260,M�nchner Merkur,CSU-Fraktionschef Florian Schiller über Stadtpolitik und Streitfragen: „So wird das nix“,"Florian Schiller (40), CSU-Fraktionsvorsitzender im Dachauer Stadtrat, spricht im Interview über die Themen, die Stadt gerade bewegen - und gibt zu, dass die Entwicklung rund um das neue Hallenbad für Dachau sehr peinlich ist.",https://www.merkur.de/lokales/dachau/so-wird-das-nix-92115156.html?cmp=defrss,"Wed, 01 Mar 2023 11:24:00 +0100"
2360,M�nchner Merkur,Die „Seele des Ortsverbandes“ hört auf: Schriftführer der CSU Hohenkammer legt Amt nieder,Der CSU-Ortsverband Hohenkammer hat seine Hausaufgaben gemacht und eine neue Vorstandschaft gewählt. Einzige Änderung war das Amtsende des langjährigen Schriftführers Otto Axmann.,https://www.merkur.de/lokales/freising/neuer-schriftfuehrer-bei-der-csu-hohenkammer-gewaehlt-92110152.html?cmp=defrss,"Mon, 27 Feb 2023 10:00:00 +0100"
2678,M�nchner Merkur,„Wirtschaftsfeindlich und unsozial“: CSU rechnet mit Münchner Diesel-Verbot ab,Beim Fischessen der Münchner CSU stand vor allem das von der Rathaus-Mehrheit verhängte Diesel-Fahrverbot in der Kritik. Gegen die Entscheidung wurden auch gleich Unterschriften gesammelt.,https://www.merkur.de/lokales/muenchen/muenchen-csu-wettert-gegen-diesel-verbot-in-der-stadt-ztz-92111562.html?cmp=defrss,"Mon, 27 Feb 2023 22:12:43 +0100"
