,name_media,title,summary,link,published
253,Augsburger Allgemeine,Grünes Licht für Wunsch von Eces Vater: Flüchtlingsheim wird abgerissen,Unter Tränen hatte der Vater der getöteten Ece aus Illerkirchberg beim Bürgerdialog den Wunsch geäußert. Nun wurde einem ersten Schritt dafür grünes Licht gegeben.,https://www.augsburger-allgemeine.de/neu-ulm/illerkirchberg-wunsch-von-eces-vater-wird-erfuellt-illerkirchberg-reisst-fluechtlingsunterkunft-ab-id65652891.html,"Tue, 28 Feb 2023 12:09:57 GMT"
283,Augsburger Allgemeine,Wie Nördlingens Grüne möglichst viel Verkehr aus der Altstadt leiten wollen,Die Vertreter der Grünen diskutieren in Nördlingen über eine Sperrung des Marktplatzes und der Drehergasse. Auch Shuttlebusse könnten für sie eine Lösung sein.,https://www.augsburger-allgemeine.de/noerdlingen/noerdlingen-wie-noerdlingens-gruene-moeglichst-viel-verkehr-aus-der-altstadt-leiten-wollen-id65682686.html,"Wed, 01 Mar 2023 07:10:00 GMT"
814,Donaukurier,Grünen-Betreuungsabgeordnete Claudia Köhler besucht das Schuttermoor in Nassenfels,"Claudia Köhler, Betreuungsabgeordnete der Grünen für den Landkreis Eichstätt, hat sich vor Ort ein Bild vom Schuttermoor in Nassenfels gemacht. Zusammen mit Kreisrätin Simone Zink, Bezirksrat Joachim Siebler und der Grünen-Kreisvorsitzenden Nicole Lorenz schaute sie sich die Bauarbeiten am Sportzentrum an. Kerstin Merkel von der Bürgerinitiative (BI) „Pro Schuttermoor“ betonte bei dem Treffen noch einmal, dass am Rand der Fläche „Berge von wertvollem Moor“ lagern, die als „wertvolle CO2-Speicher dienen“. Entwässerungsgräben und Plastikmatten unter dem ausgebrachten Kiesel zeigten der BI-Sprecherin zufolge, mit wie viel Kraft man „gegen natürlichen Klimaschutz vorgehe“. Die Bürgerinitiative hatte einen Bürgerentscheid für einen Stopp der Planungen knapp verloren. Während man im Donaumoos dabei ist, mit finanziellem Aufwand große Flächen zu renaturieren, solle das mehr als drei Hektar große Schuttermoor in Nassenfels trockengelegt werden: „Der Umgang mit dem Schuttermoor macht mich fassungslos. Die Lokalpolitiker haben einen wertvollen Hebel für Klimaschutz vor Ort und nutzen ihn nicht“, sagte Köhler. Stattdessen würden „unüberschaubare Kosten auf die Kommune zukommen, um die Moorfläche trockenzulegen“. Der Freistaat könne nicht Geld in Renaturierungen stecken und „gleichzeitig bei solch einem Frevel untätig zuschauen“, so Köhler. Grüne wollen sich weiterhin für Erhalt einsetzenKreisrätin Simone Zink kündigte an, dass man sich weiterhin für den Erhalt und die Wiederbenässung der Moorfläche einsetzen werde, auch vor dem Hintergrund der Moorbodenkartierung. Hier müsse man sich die Frage stellen, „wie kommunale Selbstverwaltung und Klimaschutz Hand in Hand gehen kann“. Erschreckend sei, wie viel Plastik in den Boden eingebracht werde, sagte Zink. „Bereits in der jetzigen Bauphase zeichnet sich ab, dass die vielen Versprechungen zu einer schonenden Bauweise nicht eingehalten werden“, sagte Bezirksrat Siebler. Der Begründung zum Bebauungsplan ist zu entnehmen: Um einen Eingriff in den Torfkörper zu verhindern, wird nicht in den Boden eingegriffen. Nun zeichne sich der Mitteilung zufolge ab, dass für das Gebäude 400 Pfähle zehn Meter tief durch den Moorboden auf Grund gesetzt werden sollen, um diesen zu verdrängen. Die Bedeutung der Moore für den Klimaschutz ist enorm. Sie sind gigantische Kohlenstoffspeicher und binden so viel CO2 in der gleichen Fläche, wie ein hundert Jahre alter Wald. Umgekehrt setzt das Moor bei Eingriffen auch große Mengen von CO2 frei. EK",https://www.donaukurier.de/lokales/landkreis-eichstaett/gruenen-betreuungsabgeordnete-claudia-koehler-besucht-das-schuttermoor-in-nassenfels-10629346,"Tue, 28 Feb 2023 08:00:00 +0100"
1207,Frankenpost,Aktion der Grünen: Wer hat in Helmbrechts Strom gespart?,"Die Helmbrechtser Gr&uuml;nen nutzen das Jubil&auml;um der Stadt f&uuml;r eine „Energiespar-Challenge“. Im M&auml;rz zeigt sich, wer flei&szlig;ig das Licht ausgeknipst hat.",https://www.frankenpost.de/inhalt.aktion-der-gruenen-wer-hat-in-helmbrechts-strom-gespart.ffc2cae3-2598-4bd4-a05c-563fafbcf118.html,"Thu, 16 Feb 2023 13:54:00 GMT"
2197,M�nchner Merkur,OB-Wahl in Frankfurt: Alle Entwicklungen im Überblick – erste Umfrage-Ergebnisse schocken Grüne,Am Sonntag geht Frankfurt wählen. Die heiße Phase des Wahlkampfes vor der OB-Wahl läuft. Alle Entwicklungen im News-Ticker.,https://www.merkur.de/deutschland/hessen/ob-wahl-frankfurt-news-ticker-umfrage-josef-becker-rottmann-cdu-spd-gruene-roemer-feldmann-zr-92116301.html?cmp=defrss,"Wed, 01 Mar 2023 11:36:38 +0100"
2586,M�nchner Merkur,Radwans harte Kritik zur Zeitenwende: „Grüne wollen der Welt ihr Dogma überstülpen“,"Ein Jahr ist es her, dass Bundeskanzler Olaf Scholz bei der Sondersitzung des Bundestags zum Angriffskrieg auf die Ukraine seine Regierungserklärung abgab und mit Blick auf Außen- und Sicherheitspolitik den Begriff „Zeitenwende“ prägte.",https://www.merkur.de/lokales/region-miesbach/zu-sehr-gezoegert-abgeordnete-radwan-und-baer-bewerten-ausgerufene-zeitenwende-des-kanzlers-92113833.html?cmp=defrss,"Tue, 28 Feb 2023 10:05:30 +0100"
2673,M�nchner Merkur,Bürgerbegehren „Grünflächen erhalten“: Grüne fordern  Ratsentscheid - Stadtrat muss abstimmen,Der Hickhack über das Bürgerbegehren „Grünflächen erhalten“ geht weiter. Der Stadtrat muss am Mittwoch (1. März) erneut abstimmen. Die Grünen wollen dabei einen Ratsentscheid starten.,https://www.merkur.de/lokales/muenchen/buergerbegehren-gruenflaechen-erhalten-gruene-fordern-ratsentscheid-stadtrat-muss-entscheiden-92114505.html?cmp=defrss,"Tue, 28 Feb 2023 14:16:41 +0100"
2871,M�nchner Merkur,Grünen-Spitzenkandidat beim Neujahrsempfang in Neuried,"Neuried – Der Neujahrsempfang der Neurieder Grünen stand am Sonntag ganz im Zeichen der im Oktober anstehenden Landtagswahl. Mit dem Spitzenkandidaten Ludwig Hartmann, der Landtagsabgeordneten Claudia Köhler, Direktkandidatin im Landkreis München, sowie den Bezirksräten Frauke Schwaiblmair und Martin Wagner kam viel politische Prominenz unter der Moderation der Ortsvorsitzenden Uta Hirschberg in die Mehrzweckhalle.",https://www.merkur.de/lokales/wuermtal/gruenen-fraktionschef-hartmann-beim-neujahrsempfang-in-neuried-92083574.html?cmp=defrss,"Sun, 12 Feb 2023 20:15:00 +0100"
3288,Mittelbayerische Zeitung,Grüne wollen Tempo 30 in der Weißenburgstraße diskutieren – Wenig Interesse,Tempo 30 in der Weißenburgstraße: Am Donnerstag lud die grüne Stadtratsfraktion zu einem Vor-Ort-Gespräch mit Anwohnern...,https://www.mittelbayerische.de/region/regensburg-stadt-nachrichten/gruene-wollen-tempo-30-in-der-weissenburgstrasse-diskutieren-wenig-interesse-21179-art2196852.html,"Fri, 24 Feb 2023 13:21:00 GMT"
3826,Nordbayerischer Kurier,Der Grüne Faden: Philipp Egger: Der Mann fürs richtige Rampenlicht,"Die Einstellung ist spannend. Und man br&auml;uchte mehr Menschen mit dieser Einstellung, die Philipp Egger hat: Der 40-j&auml;hrige Bayreuther ist &uuml;berzeugt davon, dass es wichtig ist, sich ehrenamtlich zu engagieren, gerade in der Kulturszene, die Einsatz braucht, um Veranstaltungen erst m&ouml;glich zu machen. Unter anderem deshalb engagiert er sich im Kulturhaus Neuneinhalb, wo er zum Beispiel die B&uuml;hnentechnik auf professionelles Niveau gebracht hat und ausbaut. Ehrenamtlich, klar.",https://www.kurier.de/inhalt.der-gruene-faden-philipp-egger-der-mann-fuers-richtige-rampenlicht.da486bb6-70c0-4681-afc2-8f6d17b29f87.html,"Mon, 27 Feb 2023 13:55:00 GMT"
