,name_media,title,summary,link,published
366,Donau Zeitung,"""Der Filz verhindert Innovationen"": SPD teilt am Aschermittwoch gegen CSU aus",Der SPD-Unterbezirk Dillingen schießt beim Politischen Aschermittwoch verbal gegen die Staatsregierung. Greift bei den anstehenden Wahlen das Aschermittwochs-Orakel?,https://www.augsburger-allgemeine.de/dillingen/gundelfingen-der-filz-verhindert-innovationen-spd-teilt-am-aschermittwoch-gegen-csu-aus-id65677056.html,"Tue, 28 Feb 2023 11:00:00 GMT"
877,Donaukurier,Hermann Steger führt den neuen SPD-Ortsverein Oberhausen-Burgheim,"Aus zwei mach eins: Die Genossinnen und Genossen aus der Marktgemeinde Burgheim haben den Antrag gestellt, sich dem SPD-Ortsverein Oberhausen anzuschließen. Die Mitglieder aus Oberhausen nahmen die Burgheimer in ihre Reihen auf. In der Gründungsversammlung beschloss man eine neue Satzung für den Ortsverein Oberhausen-Burgheim. Auf der Tagesordnung standen folgerichtig auch die Wahlen des neuen Vorstands.Der Kreisvorsitzende Werner Widuckel leitete die Sitzung. Bemerkenswert waren dabei die durchgängig einstimmigen Wahlergebnisse. Der Vorstand setzt sich zusammen aus dem Vorsitzenden Hermann Steger, Stellvertretender Karl-Heinz Gößwein, der Schatzmeisterin Centa Frank, der Schriftführerin Mini Forster-Hüttlinger und den Beisitzern Franz Hofgärtner und David Dußmann. Neben den Vorstandswahlen waren auch die Delegierten zur Kreisdelegiertenkonferenz des SPD-Unterbezirks Neuburg-Schrobenhausen und die Delegierten zur anstehenden Europawahl 2024 zu wählen. Der Ortsverein Oberhausen-Burgheim wird im Landkreis mit den drei Mandaten von Horst Wittmann, Centa Frank und Mini Forster-Hüttlinger vertreten sein. Die Gewählten verteten den Gemeindeverband auch in der Aufstellungskonferenz zur Europawahl.Ferner stellte sich Landtagskandidat Sigi Sibinger vor. Zu guter Letzt stellte Lokalmatadorin und Bezirkstagskandidatin Mini Forster-Hüttlinger ihre Vorstellungen einer zukunftsweisenden Bezirks-Politik mit dem Schwerpunkt Seniorenpolitik dar. DK",https://www.donaukurier.de/lokales/landkreis-neuburg-schrobenhausen/hermann-steger-fuehrt-den-neuen-spd-ortsverein-oberhausen-burgheim-10635844,"Wed, 1 Mar 2023 11:00:00 +0100"
1043,Frankenpost,SPD Rehau: Der Kampf geht weiter,Gleich zwei Sozialdemokraten verlassen den Rehauer Stadtrat. F&uuml;r die alten Recken bedeutet das mehr als eine Herausforderung – kurz- und mittelfristig.,https://www.frankenpost.de/inhalt.spd-rehau-der-kampf-geht-weiter.a57ba26d-b57e-4931-a737-3e0e6b516a8b.html,"Tue, 14 Feb 2023 11:05:00 GMT"
1128,Frankenpost,Bad Steben: Maria Noichl bringt SPD auf Kurs,Die Europa-Abgeordnete der Bayern-SPD sieht vor allem Handlungsbedarf bei der Vermittlung sozialdemokratischer Werte.,https://www.frankenpost.de/inhalt.bad-steben-maria-noichl-bringt-spd-auf-kurs.d13c7e5d-a622-4c2e-a6d2-fe88e0194ce0.html,"Sun, 12 Feb 2023 14:34:00 GMT"
1206,Frankenpost,Sozialer Wohnungsbau: SPD-Bürgermeister haben Probleme,In M&uuml;nchberg kommt der Parlamentarische Staatssekret&auml;r S&ouml;ren Bartol mit Politikern der Region ins Gespr&auml;ch. Diese benennen zahlreiche Probleme – ganz obenan stehen fehlende F&ouml;rdermittel.,https://www.frankenpost.de/inhalt.sozialer-wohnungsbau-spd-buergermeister-haben-probleme.117043b6-aa43-47e4-a389-7cb602b35f1f.html,"Thu, 16 Feb 2023 15:47:00 GMT"
2813,M�nchner Merkur,Gmund: Neujahrsempfang der SPD / Landesvorsitzende Endres zu Gast,Gmund – Beim traditionellen Neujahrsempfang starteten die SPD-Ortsverbände des Landkreises ins Wahljahr. Hauptrednerin war Landesvorsitzende Ronja Endres.,https://www.merkur.de/lokales/region-tegernsee/dasgelbeblatt/gmund-neujahrsempfang-der-spd-landesvorsitzende-endres-zu-gast-92093590.html?cmp=defrss,"Sun, 19 Feb 2023 06:03:00 +0100"
2928,M�nchner Merkur,Nach Filzstift-Attacke auf Parteizentrale: Klimaaktivist gewinnt gegen SPD in Nürnberg,Aus Wut über den „Klimakanzler“: Ein Klimaaktivist hat im letzten Frühjahr die Nürnberger SPD-Parteizentrale mit einem Filzstift beschmiert. Am Freitag hat das Amtsgericht den Familienvater vom Vorwurf der Sachbeschädigung freigesprochen.,https://www.merkur.de/bayern/nuernberg/klimaaktivist-in-nuernberg-von-gericht-nicht-verurteilt-spd-92095891.html?cmp=defrss,"Mon, 20 Feb 2023 23:01:25 +0100"
2953,M�nchner Merkur,Politischer Aschermittwoch in Memmingen: SPD im Zeichen der Oberbürgermeisterwahl,"Memmingen – Am Politischen Aschermittwoch geht es traditionsgemäß hoch her und das aktuelle Politikgeschehen wird gewaltig auf die Schippe genommen. Bei der SPD Memmingen, die ins Clubhaus des FC Memmingen in der Bodenseestraße eingeladen hatte, stand an diesem Abend weitgehend die bevorstehende Oberbürgermeisterwahl im Fokus.",https://www.merkur.de/bayern/schwaben/memmingen-kurier/politischer-aschermittwoch-in-memmingen-spd-im-zeichen-der-oberbuergermeisterwahl-92114588.html?cmp=defrss,"Tue, 28 Feb 2023 14:43:50 +0100"
2982,M�nchner Merkur,SPD-Bundeschefin Esken schießt gegen Söder – und spricht über „Pascha“ Merz,Die SPD-Bundesvorsitzende Saskia Esken kam am Aschermittwoch als Wahlkampfunterstützung in den Landkreis Regensburg.,https://www.merkur.de/bayern/regensburg/spd-bundeschefin-wettert-in-eichhofen-gegen-merz-und-soeder-92115608.html?cmp=defrss,"Wed, 01 Mar 2023 07:42:35 +0100"
3066,M�nchner Merkur,SPD-Bundeschefin Esken schießt gegen Söder – und spricht über „Pascha“ Merz,Die SPD-Bundesvorsitzende Saskia Esken kam am Aschermittwoch als Wahlkampfunterstützung in den Landkreis Regensburg.,https://www.merkur.de/bayern/regensburg/spd-bundeschefin-wettert-in-eichhofen-gegen-merz-und-soeder-92115608.html?cmp=defrss,"Wed, 01 Mar 2023 07:42:35 +0100"
